    Subject           Activity Average.Time.Mean.BodyAccel.X Average.Time.Mean.BodyAccel.Y
1         1            WALKING                     0.2773308                  -0.017383819
2         1   WALKING_UPSTAIRS                     0.2554617                  -0.023953149
3         1 WALKING_DOWNSTAIRS                     0.2891883                  -0.009918505
4         1            SITTING                     0.2612376                  -0.001308288
5         1           STANDING                     0.2789176                  -0.016137590
6         1             LAYING                     0.2215982                  -0.040513953
7         2            WALKING                     0.2764266                  -0.018594920
8         2   WALKING_UPSTAIRS                     0.2471648                  -0.021412113
9         2 WALKING_DOWNSTAIRS                     0.2776153                  -0.022661416
10        2            SITTING                     0.2770874                  -0.015687994
11        2           STANDING                     0.2779115                  -0.018420827
12        2             LAYING                     0.2813734                  -0.018158740
13        3            WALKING                     0.2755675                  -0.017176784
14        3   WALKING_UPSTAIRS                     0.2608199                  -0.032410941
15        3 WALKING_DOWNSTAIRS                     0.2924235                  -0.019355408
16        3            SITTING                     0.2571976                  -0.003502998
17        3           STANDING                     0.2800465                  -0.014337656
18        3             LAYING                     0.2755169                  -0.018955679
19        4            WALKING                     0.2785820                  -0.014839948
20        4   WALKING_UPSTAIRS                     0.2708767                  -0.031980430
21        4 WALKING_DOWNSTAIRS                     0.2799653                  -0.009802009
22        4            SITTING                     0.2715383                  -0.007163065
23        4           STANDING                     0.2804997                  -0.009489111
24        4             LAYING                     0.2635592                  -0.015003184
25        5            WALKING                     0.2778423                  -0.017285032
26        5   WALKING_UPSTAIRS                     0.2684595                  -0.032526976
27        5 WALKING_DOWNSTAIRS                     0.2935439                  -0.008501075
28        5            SITTING                     0.2736941                  -0.009900835
29        5           STANDING                     0.2825444                  -0.007004186
30        5             LAYING                     0.2783343                  -0.018304212
31        6            WALKING                     0.2836589                  -0.016895419
32        6   WALKING_UPSTAIRS                     0.2682294                  -0.027242539
33        6 WALKING_DOWNSTAIRS                     0.2770453                  -0.019536840
34        6            SITTING                     0.2767785                  -0.014591162
35        6           STANDING                     0.2803462                  -0.018123633
36        6             LAYING                     0.2486565                  -0.010252917
37        7            WALKING                     0.2755930                  -0.018653665
38        7   WALKING_UPSTAIRS                     0.2487069                  -0.027563901
39        7 WALKING_DOWNSTAIRS                     0.2803071                  -0.016633237
40        7            SITTING                     0.2846746                  -0.014610976
41        7           STANDING                     0.2827235                  -0.014574034
42        7             LAYING                     0.2501767                  -0.020441152
43        8            WALKING                     0.2746863                  -0.018662887
44        8   WALKING_UPSTAIRS                     0.2588802                  -0.028241514
45        8 WALKING_DOWNSTAIRS                     0.2834841                  -0.021105867
46        8            SITTING                     0.2674915                  -0.006725506
47        8           STANDING                     0.2796210                  -0.014811307
48        8             LAYING                     0.2612543                  -0.021228173
49        9            WALKING                     0.2785028                  -0.018089197
50        9   WALKING_UPSTAIRS                     0.2624365                  -0.019510110
51        9 WALKING_DOWNSTAIRS                     0.2959234                  -0.020399427
52        9            SITTING                     0.2483267                  -0.027016777
53        9           STANDING                     0.2823101                  -0.020045495
54        9             LAYING                     0.2591955                  -0.020526822
55       10            WALKING                     0.2785741                  -0.017022351
56       10   WALKING_UPSTAIRS                     0.2671219                  -0.014385492
57       10 WALKING_DOWNSTAIRS                     0.2904016                  -0.020005077
58       10            SITTING                     0.2706121                  -0.015042682
59       10           STANDING                     0.2766503                  -0.015541860
60       10             LAYING                     0.2802306                  -0.024294484
61       11            WALKING                     0.2718219                  -0.016647583
62       11   WALKING_UPSTAIRS                     0.2637759                  -0.030315782
63       11 WALKING_DOWNSTAIRS                     0.2916056                  -0.017809772
64       11            SITTING                     0.2765902                  -0.014919562
65       11           STANDING                     0.2777156                  -0.017199089
66       11             LAYING                     0.2805930                  -0.017659805
67       12            WALKING                     0.2771287                  -0.015560928
68       12   WALKING_UPSTAIRS                     0.2729703                  -0.026357490
69       12 WALKING_DOWNSTAIRS                     0.2815211                  -0.018084267
70       12            SITTING                     0.2750072                  -0.015789299
71       12           STANDING                     0.2774058                  -0.016900254
72       12             LAYING                     0.2601134                  -0.017520392
73       13            WALKING                     0.2758831                  -0.018566065
74       13   WALKING_UPSTAIRS                     0.2582039                  -0.027739225
75       13 WALKING_DOWNSTAIRS                     0.2949076                  -0.014372384
76       13            SITTING                     0.2743285                  -0.005877329
77       13           STANDING                     0.2777584                  -0.016789199
78       13             LAYING                     0.2767164                  -0.020440454
79       14            WALKING                     0.2719596                  -0.021778538
80       14   WALKING_UPSTAIRS                     0.2624211                  -0.020438818
81       14 WALKING_DOWNSTAIRS                     0.2934221                  -0.020014141
82       14            SITTING                     0.2799906                  -0.008705655
83       14           STANDING                     0.2805456                  -0.015207813
84       14             LAYING                     0.2332754                  -0.011342465
85       15            WALKING                     0.2738992                  -0.017080974
86       15   WALKING_UPSTAIRS                     0.2701876                  -0.028752386
87       15 WALKING_DOWNSTAIRS                     0.2801989                  -0.005630478
88       15            SITTING                     0.2729034                  -0.011718847
89       15           STANDING                     0.2789158                  -0.018351636
90       15             LAYING                     0.2894757                  -0.016629654
91       16            WALKING                     0.2760236                  -0.020428693
92       16   WALKING_UPSTAIRS                     0.2559861                  -0.014365495
93       16 WALKING_DOWNSTAIRS                     0.2955868                  -0.018389858
94       16            SITTING                     0.2807686                  -0.010249794
95       16           STANDING                     0.2834974                  -0.016599967
96       16             LAYING                     0.2742272                  -0.016610351
97       17            WALKING                     0.2723419                  -0.018487540
98       17   WALKING_UPSTAIRS                     0.2526048                  -0.022864561
99       17 WALKING_DOWNSTAIRS                     0.2939183                  -0.016735940
100      17            SITTING                     0.2773570                  -0.014156274
101      17           STANDING                     0.2779425                  -0.017412006
102      17             LAYING                     0.2697801                  -0.016846201
103      18            WALKING                     0.2738878                  -0.017802363
104      18   WALKING_UPSTAIRS                     0.2654012                  -0.022206068
105      18 WALKING_DOWNSTAIRS                     0.2884395                  -0.016866692
106      18            SITTING                     0.2772700                  -0.012869128
107      18           STANDING                     0.2784588                  -0.016635352
108      18             LAYING                     0.2746916                  -0.017393768
109      19            WALKING                     0.2739312                  -0.019177359
110      19   WALKING_UPSTAIRS                     0.2421188                  -0.030398662
111      19 WALKING_DOWNSTAIRS                     0.2626881                  -0.014594228
112      19            SITTING                     0.2738303                  -0.016739260
113      19           STANDING                     0.2781723                  -0.015424406
114      19             LAYING                     0.2726537                  -0.017142686
115      20            WALKING                     0.2725893                  -0.021199992
116      20   WALKING_UPSTAIRS                     0.2520983                  -0.028225805
117      20 WALKING_DOWNSTAIRS                     0.2961444                  -0.009641208
118      20            SITTING                     0.2780454                  -0.014722931
119      20           STANDING                     0.2780769                  -0.018069505
120      20             LAYING                     0.2395079                  -0.014440628
121      21            WALKING                     0.2791835                  -0.018161032
122      21   WALKING_UPSTAIRS                     0.2651945                  -0.023721870
123      21 WALKING_DOWNSTAIRS                     0.3014610                  -0.017319539
124      21            SITTING                     0.2775396                  -0.014400971
125      21           STANDING                     0.2769522                  -0.016708473
126      21             LAYING                     0.2713255                  -0.018423305
127      22            WALKING                     0.2788646                  -0.016721361
128      22   WALKING_UPSTAIRS                     0.2483915                  -0.026862256
129      22 WALKING_DOWNSTAIRS                     0.2844590                  -0.019799937
130      22            SITTING                     0.2735838                  -0.012346845
131      22           STANDING                     0.2790539                  -0.015856321
132      22             LAYING                     0.2799597                  -0.014262986
133      23            WALKING                     0.2732119                  -0.018361871
